,Player,Tm,Pos,Rec,Rec Yds,Rec TDs,Rushes,Rush Yds,Rush TDs,Pass Yds,Pass TDs,Ints,Standard,Half PPR,PPR
57,Gus Edwards,BAL,RB,6.0,85.0,0.0,95.0,475.0,3.9,0.0,0.0,0.0,79.4,82.4,85.4
58,Salvon Ahmed,MIA,RB,14.0,76.0,0.0,93.0,398.0,3.7,0.0,0.0,0.0,69.60000000000001,76.60000000000001,83.60000000000001
59,Darrel Williams,KAN,RB,24.0,194.0,0.0,65.0,282.0,1.7,0.0,0.0,0.0,57.80000000000001,69.80000000000001,81.80000000000001
60,Joshua Kelley,LAC,RB,21.0,133.0,0.0,100.0,318.0,1.8,0.0,0.0,0.0,55.900000000000006,66.4,76.9
61,Devontae Booker,NYG,RB,15.0,73.0,0.0,81.0,370.0,2.6,0.0,0.0,0.0,59.9,67.4,74.9
62,Chuba Hubbard,CAR,RB,14.0,116.0,0.4,77.0,326.0,2.2,0.0,0.0,0.0,59.800000000000004,66.80000000000001,73.80000000000001
63,Anthony McFarland Jr.,PIT,RB,19.0,169.0,0.0,103.0,353.0,0.0,0.0,0.0,0.0,52.2,61.7,71.2
64,Mike Boone,DEN,RB,9.0,47.0,0.0,52.0,277.0,4.7,0.0,0.0,0.0,60.60000000000001,65.10000000000001,69.60000000000001
65,Boston Scott,PHI,RB,18.0,154.0,0.7,58.0,271.0,0.7,0.0,0.0,0.0,50.900000000000006,59.900000000000006,68.9
66,Carlos Hyde,JAC,RB,12.0,72.0,0.0,62.0,274.0,3.1,0.0,0.0,0.0,53.2,59.2,65.2
67,Sony Michel,NWE,RB,6.0,98.0,0.9,68.0,384.0,0.9,0.0,0.0,0.0,59.00000000000001,62.00000000000001,65.0
68,Mark Ingram,HOU,RB,7.0,60.0,0.0,86.0,357.0,2.4,0.0,0.0,0.0,56.1,59.6,63.1
69,Malcolm Brown,MIA,RB,12.0,88.0,0.0,55.0,227.0,2.7,0.0,0.0,0.0,47.7,53.7,59.7
70,Justin Jackson,LAC,RB,17.0,159.0,0.0,54.0,248.0,0.0,0.0,0.0,0.0,40.7,49.2,57.7
71,Jerick McKinnon,KAN,RB,15.0,114.0,0.5,37.0,144.0,2.3,0.0,0.0,0.0,42.6,50.1,57.6
72,Matt Breida,BUF,RB,11.0,122.0,0.0,75.0,321.0,0.0,0.0,0.0,0.0,44.300000000000004,49.800000000000004,55.300000000000004
73,Rhamondre Stevenson,NWE,RB,11.0,86.0,0.3,57.0,241.0,1.6,0.0,0.0,0.0,44.1,49.6,55.1
74,Ke'Shawn Vaughn,TB,RB,10.0,84.0,0.3,56.0,235.0,1.6,0.0,0.0,0.0,43.300000000000004,48.300000000000004,53.300000000000004
75,Lamical Perine,NYJ,RB,11.0,64.0,0.0,65.0,235.0,2.0,0.0,0.0,0.0,41.9,47.4,52.9
76,Le'Veon Bell,KAN,RB,16.0,112.0,0.2,60.0,192.0,0.7,0.0,0.0,0.0,35.800000000000004,43.800000000000004,51.800000000000004
77,Kerryon Johnson,PHI,RB,12.0,122.0,0.6,34.0,118.0,1.3,0.0,0.0,0.0,35.400000000000006,41.400000000000006,47.400000000000006
78,Benny Snell,PIT,RB,6.0,37.0,0.0,67.0,221.0,2.4,0.0,0.0,0.0,40.2,43.2,46.2
79,Wayne Gallman,SFO,RB,7.0,38.0,0.0,49.0,225.0,2.0,0.0,0.0,0.0,38.3,41.8,45.3
80,DeeJay Dallas,SEA,RB,13.0,85.0,0.8,26.0,82.0,1.5,0.0,0.0,0.0,30.5,37.0,43.5
1,Travis Kelce,KAN,TE,98.0,1318.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,193.0,242.0,291.0
2,George Kittle,SFO,TE,101.0,1334.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,158.60000000000002,209.10000000000002,259.6
3,Darren Waller,LVR,TE,82.0,914.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,132.8,173.8,214.8
4,T.J. Hockenson,DET,TE,77.0,836.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,125.00000000000001,163.5,202.0
5,Mark Andrews,BAL,TE,65.0,787.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,126.10000000000001,158.60000000000002,191.10000000000002
6,Dallas Goedert,PHI,TE,68.0,780.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,105.0,139.0,173.0
7,Noah Fant,DEN,TE,67.0,728.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,92.0,125.5,159.0
8,Logan Thomas,WAS,TE,62.0,580.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,89.2,120.2,151.2
9,Kyle Pitts,ATL,TE,57.0,628.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,91.6,120.1,148.6
10,Irv Smith Jr.,MIN,TE,45.0,547.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,99.7,122.2,144.7
11,Robert Tonyan,GNB,TE,41.0,467.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,99.5,120.0,140.5
12,Mike Gesicki,MIA,TE,46.0,612.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,92.4,115.4,138.4
13,Tyler Higbee,LAR,TE,46.0,544.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,85.60000000000001,108.60000000000001,131.60000000000002
14,Jonnu Smith,NWE,TE,37.0,408.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,84.6,103.1,121.6
15,Evan Engram,NYG,TE,56.0,578.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,63.2,91.2,119.2
16,Hunter Henry,NWE,TE,51.0,521.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,72.5,98.0,123.5
17,Rob Gronkowski,TB,TE,35.0,488.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,81.80000000000001,99.30000000000001,116.80000000000001
18,Anthony Firkser,TEN,TE,53.0,531.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,61.5,88.0,114.5
19,Jared Cook,LAC,TE,31.0,428.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,78.20000000000002,93.70000000000002,109.20000000000002
20,Austin Hooper,CLE,TE,43.0,403.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,62.50000000000001,84.0,105.5
21,Adam Trautman,NOR,TE,40.0,456.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,61.800000000000004,81.80000000000001,101.80000000000001
22,Zach Ertz,PHI,TE,45.0,416.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,48.8,71.3,93.8
23,Blake Jarwin,DAL,TE,33.0,393.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,58.50000000000001,75.0,91.5
24,Eric Ebron,PIT,TE,35.0,353.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,54.50000000000001,72.0,89.5
25,Hayden Hurst,ATL,TE,32.0,323.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,52.7,68.7,84.7
26,Gerald Everett,SEA,TE,36.0,365.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,41.9,59.9,77.9
27,Cole Kmet,CHI,TE,36.0,310.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,46.0,64.0,82.0
28,Jimmy Graham,CHI,TE,28.0,258.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,52.8,66.8,80.8
29,O.J. Howard,TB,TE,32.0,431.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,48.5,64.5,80.5
30,Dawson Knox,BUF,TE,27.0,323.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,52.7,66.2,79.7
31,Jack Doyle,IND,TE,27.0,291.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,50.1,63.6,77.1
32,Chris Herndon,NYJ,TE,30.0,273.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,44.7,59.7,74.7
33,Pat Freiermuth,PIT,TE,28.0,312.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,45.6,59.6,73.6
