"Rank","Player","Team","Bye","POS","ESPN","RTSports","Fantrax","FFC","AVG"
"156","Justin Fields","CHI","10","QB20","156","165","152","172","161.6"
"157","Miami Dolphins","DST","14","DST9","179","187","173","187","161.8"
"158","Russell Gage","ATL","6","WR57","168","124","177","140","164.2"
"159","Zach Ertz","PHI","14","TE18","188","142","164","184","166.4"
"160","Tevin Coleman","NYJ","6","RB50","195","134","187","132","168.6"
"161","Phillip Lindsay","HOU","10","RB51","186","146","189","130","169.0"
"162","Tua Tagovailoa","MIA","14","QB21","153","166","149","205","170.0"
"163","Elijah Moore","NYJ","6","WR58","162","158","156","155","170.8"
"164","Trey Lance","SF","6","QB22","189","169","158","169","171.6"
"165","Greg Zuerlein","DAL","7","K7","166","199","229","160","172.2"
"166","Ben Roethlisberger","PIT","7","QB23","159","162","178","199","173.2"
"167","James White","NE","14","RB52","167","168","157","141","173.4"
"168","New England Patriots","DST","14","DST10","139","167","282","154","176.8"
"169","Ryan Fitzpatrick","WAS","9","QB24","187","163","147","180","177.2"
"170","Jared Cook","LAC","7","TE19","196","156","188","209","179.2"
"171","Daniel Carlson","LV","8","K8","192","224","186","218","180.8"
"172","Derek Carr","LV","8","QB25","199","148","184","204","180.8"
"173","Giovani Bernard","TB","9","RB53","204","185","181","147","181.6"
"174","Jalen Reagor","PHI","14","WR59","126","170","166","210","182.6"
"175","Rashod Bateman","BAL","8","WR60","175","177","154","176","183.4"
"176","Nelson Agholor","NE","14","WR61","161","173","185","217","184.4"
"177","Adam Trautman","NO","6","TE20","181","157","223","162","184.8"
"178","Wil Lutz","NO","6","K9","182","207","251","165","191.4"
"179","Cleveland Browns","DST","13","DST11","143","181","324","161","192.4"
"180","Chuba Hubbard","CAR","13","RB54","223","180","170","153","194.8"
"181","Kenneth Gainwell","PHI","14","RB55","","171","167","178","163.8"
"182","Gerald Everett","SEA","9","TE21","226","161","207","197","196.6"
"183","Ryan Succop","TB","9","K10","185","208","332","159","197.6"
"184","Rashaad Penny","SEA","9","RB56","","139","155","137","167.8"
"185","Jamison Crowder","NYJ","6","WR62","198","247","131","212","202.8"
"186","Taysom Hill","NO","6","QB26","213","236","171","195","206.6"
"187","Anthony Firkser","TEN","13","TE22","225","174","175","202","207.0"
"188","Zach Wilson","NYJ","6","QB27","203","198","183","224","207.2"
"189","Blake Jarwin","DAL","7","TE23","215","189","220","208","207.6"
"190","Emmanuel Sanders","BUF","7","WR63","218","182","250","186","207.8"
"191","Austin Hooper","CLE","13","TE24","158","159","213","","178.8"
"192","Denver Broncos","DST","11","DST12","130","217","331","194","209.2"
"193","New Orleans Saints","DST","6","DST13","165","183","271","","182.3"
"194","Kansas City Chiefs","DST","12","DST14","190","191","320","214","211.2"
"195","A.J. Green","ARI","12","WR64","180","192","292","193","213.0"
"196","Jason Myers","SEA","9","K11","116","234","343","222","216.4"
"197","Gabriel Davis","BUF","7","WR65","","218","174","192","185.3"
"198","Daniel Jones","NYG","10","QB28","178","155","199","","186.3"
"199","Sterling Shepard","NYG","10","WR66","216","195","148","","187.3"
"200","John Brown","LV","8","WR67","","209","163","203","189.3"
"201","Parris Campbell","IND","14","WR68","163","212","238","189","217.8"
"202","Jameis Winston","NO","6","QB29","219","194","262","171","218.4"
"203","Marlon Mack","IND","14","RB57","","200","169","156","191.8"
"204","Amon-Ra St. Brown","DET","9","WR69","","203","197","198","192.3"
"205","Cole Kmet","CHI","10","TE25","200","179","233","","195.5"
"206","Tre'Quan Smith","NO","6","WR70","202","186","269","185","222.0"
"207","Chicago Bears","DST","10","DST15","194","216","311","215","222.8"
