Rk,Player,Team,Pos,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Yds/Car,RushTD,Tgt,Rec,RecYds,Yds/Rec,RecTD,Fmb,FL,RecRushTD,2PM,2PP,VBD,PosRank,OvRank
89,Andy Dalton,NOR,QB,252,378,2871,18,9,30,54,1.8,0,0,0,0,,0,5,1,0,,1,,22,
90,Mac Jones,NWE,QB,288,442,2997,14,11,47,102,2.17,1,0,0,0,,0,5,1,1,,1,,23,
91,Jacoby Brissett,CLE,QB,236,369,2608,12,6,49,243,4.96,2,0,0,0,,0,6,4,2,,,,24,
92,Jimmy Garoppolo,SFO,QB,207,308,2437,16,4,23,33,1.43,2,0,0,0,,0,3,2,2,,,,25,
93,Ryan Tannehill,TEN,QB,212,325,2536,13,6,34,98,2.88,2,0,0,0,,0,3,2,2,,1,,26,
94,Matt Ryan,IND,QB,309,461,3057,14,13,27,70,2.59,1,0,0,0,,0,15,5,1,,,,27,
95,Kenny Pickett,PIT,QB,245,389,2404,7,9,55,237,4.31,3,0,0,0,,0,4,1,3,,2,,28,
96,AJ Dillon,GNB,RB,0,0,0,0,0,186,770,4.14,7,43,28,206,7.36,0,1,0,7,,,,26,
97,Devin Singletary,BUF,RB,0,0,0,0,0,177,819,4.63,5,52,38,280,7.37,1,3,3,6,,,,25,
98,Raheem Mostert,MIA,RB,0,0,0,0,0,181,891,4.92,3,42,31,202,6.52,2,1,1,5,,,,27,
99,Jeff Wilson,2TM,RB,0,0,0,0,0,176,860,4.89,5,37,22,185,8.41,1,3,2,6,,,,28,
100,Dameon Pierce,HOU,RB,0,0,0,0,0,220,939,4.27,4,39,30,165,5.5,1,4,2,5,,,,29,
101,Cordarrelle Patterson,ATL,RB,0,0,0,0,0,144,695,4.83,8,31,21,122,5.81,0,1,1,9,,,,30,
102,Cam Akers,LAR,RB,0,0,0,0,0,188,786,4.18,7,18,13,117,9,0,2,2,7,,,,31,
103,Latavius Murray,2TM,RB,0,0,0,0,0,171,760,4.44,6,35,27,132,4.89,0,1,0,6,1,,,32,
104,D'Onta Foreman,CAR,RB,0,0,0,0,0,203,914,4.5,5,9,5,26,5.2,0,1,0,5,1,,,33,
105,Isiah Pacheco,KAN,RB,0,0,0,0,0,170,830,4.88,5,14,13,130,10,0,4,2,5,,,,34,
106,Baker Mayfield,2TM,QB,201,335,2163,10,8,31,89,2.87,1,0,0,0,,0,9,2,1,,,,29,
107,Antonio Gibson,WAS,RB,0,0,0,0,0,149,546,3.66,3,58,46,353,7.67,2,1,0,5,,,,35,
108,Jonathan Taylor,IND,RB,0,0,0,0,0,192,861,4.48,4,40,28,143,5.11,0,3,3,4,,,,36,
109,Taylor Heinicke,WAS,QB,161,259,1859,12,6,28,96,3.43,1,0,0,0,,0,7,5,1,,,,30,
110,George Pickens,PIT,WR,0,0,0,0,0,3,24,8,1,84,52,801,15.4,4,0,0,5,1,,,30,
111,Mike Williams,LAC,WR,0,0,0,0,0,0,0,,0,93,63,895,14.21,4,0,0,4,,,,31,
112,Jakobi Meyers,NWE,WR,0,0,0,0,0,2,-11,-5.5,0,96,67,804,12,6,2,2,6,1,,,32,
113,Carson Wentz,WAS,QB,172,276,1755,11,9,22,86,3.91,1,0,0,0,,0,6,1,1,,2,,31,
114,Curtis Samuel,WAS,WR,0,0,0,0,0,38,187,4.92,1,92,64,656,10.25,4,1,1,5,,,,34,
115,Deebo Samuel,SFO,WR,0,0,0,0,0,42,232,5.52,3,94,56,632,11.29,2,3,2,5,,,,33,
116,Adam Thielen,MIN,WR,0,0,0,0,0,1,4,4,0,107,70,716,10.23,6,0,0,6,1,,,35,
117,Tyler Boyd,CIN,WR,1,1,23,0,0,0,0,,0,82,58,762,13.14,5,0,0,5,1,,,36,
118,Khalil Herbert,CHI,RB,0,0,0,0,0,129,731,5.67,4,12,9,57,6.33,1,0,0,5,,,,37,
119,Matthew Stafford,LAR,QB,206,303,2087,10,8,13,9,0.69,1,0,0,0,,0,5,3,1,,,,32,
120,Drake London,ATL,WR,0,0,0,0,0,0,0,,0,117,72,866,12.03,4,3,3,4,1,,,38,
121,JuJu Smith-Schuster,KAN,WR,0,0,0,0,0,0,0,,0,101,78,933,11.96,3,3,2,3,,,,37,
122,Donovan Peoples-Jones,CLE,WR,0,0,0,0,0,1,2,2,0,96,61,839,13.75,3,1,1,4,,,,39,
123,Brock Purdy,SFO,QB,114,170,1374,13,4,22,13,0.59,1,0,0,0,,0,0,0,1,,,,33,
124,Samaje Perine,CIN,RB,0,0,0,0,0,95,394,4.15,2,51,38,287,7.55,4,0,0,6,,,,38,
125,Brian Robinson Jr.,WAS,RB,0,0,0,0,0,205,797,3.89,2,12,9,60,6.67,1,2,0,3,,,,39,
126,Keenan Allen,LAC,WR,0,0,0,0,0,1,8,8,0,89,66,752,11.39,4,1,1,4,,,,40,
127,Zach Wilson,NYJ,QB,132,242,1688,6,7,28,102,3.64,1,1,1,2,2,1,1,1,2,,,,34,
128,Mack Hollins,LVR,WR,1,1,4,0,0,4,40,10,0,94,57,690,12.11,4,0,0,4,,,,42,
129,Josh Palmer,LAC,WR,0,0,0,0,0,1,4,4,0,107,72,769,10.68,3,1,0,3,1,,,41,
130,Jahan Dotson,WAS,WR,0,0,0,0,0,2,-7,-3.5,0,61,35,523,14.94,7,0,0,7,1,,,43,
131,Breece Hall,NYJ,RB,0,0,0,0,0,80,463,5.79,4,31,19,218,11.47,1,1,1,5,,,,40,
132,K.J. Osborn,MIN,WR,0,0,0,0,0,3,6,2,0,90,60,650,10.83,5,1,0,5,,,,44,
133,Diontae Johnson,PIT,WR,0,0,0,0,0,7,25,3.57,0,147,86,882,10.26,0,1,0,0,2,,,46,
134,Courtland Sutton,DEN,WR,0,0,0,0,0,1,5,5,0,109,64,829,12.95,2,0,0,2,,,,45,
135,Kareem Hunt,CLE,RB,0,0,0,0,0,123,468,3.8,3,44,35,210,6,1,1,0,4,,,,41,
136,Marquise Brown,ARI,WR,0,0,0,0,0,1,1,1,0,107,67,709,10.58,3,1,0,3,,,,47,
137,Brandin Cooks,HOU,WR,0,0,0,0,0,2,7,3.5,0,93,57,699,12.26,3,0,0,3,,,,48,
138,Rachaad White,TAM,RB,0,0,0,0,0,129,481,3.73,1,58,50,290,5.8,2,3,3,3,,,,42,
139,DeAndre Hopkins,ARI,WR,0,0,0,0,0,0,0,,0,96,64,717,11.2,3,2,1,3,,,,49,
140,Kenyan Drake,BAL,RB,0,0,0,0,0,109,482,4.42,4,26,17,89,5.24,1,1,0,5,,,,43,
141,Parris Campbell,IND,WR,0,0,0,0,0,5,58,11.6,0,91,63,623,9.89,3,1,0,3,,,,50,
142,Sam Darnold,CAR,QB,82,140,1143,7,3,26,106,4.08,2,0,0,0,,0,6,2,2,,,,35,
143,Deshaun Watson,CLE,QB,99,170,1102,7,5,36,175,4.86,1,0,0,0,,0,1,0,1,,,,36,
144,Michael Carter,NYJ,RB,0,0,0,0,0,114,402,3.53,3,54,41,288,7.02,0,2,1,3,,,,44,
145,James Cook,BUF,RB,0,0,0,0,0,89,507,5.7,2,32,21,180,8.57,1,1,1,3,,,,45,
146,David Njoku,CLE,TE,0,0,0,0,0,2,-8,-4,0,80,58,628,10.83,4,1,1,4,,,,13,
147,Gerald Everett,LAC,TE,0,0,0,0,0,1,0,0,0,87,58,555,9.57,4,0,0,4,1,,,14,
148,Darius Slayton,NYG,WR,0,0,0,0,0,0,0,,0,71,46,724,15.74,2,2,1,2,,,,51,
149,Clyde Edwards-Helaire,KAN,RB,0,0,0,0,0,71,302,4.25,3,23,17,151,8.88,3,0,0,6,,,,46,
150,Jordan Akins,HOU,TE,0,0,0,0,0,0,0,,0,54,37,495,13.38,5,1,1,5,1,,,16,
151,Tyler Higbee,LAR,TE,0,0,0,0,0,0,0,,0,108,72,620,8.61,3,0,0,3,,,,15,
152,Marquez Valdes-Scantling,KAN,WR,0,0,0,0,0,1,-3,-3,0,81,42,687,16.36,2,0,0,2,,,,52,
153,Devin Duvernay,BAL,WR,0,0,0,0,0,12,84,7,1,49,37,407,11,3,1,0,5,,,,53,
154,Isaiah McKenzie,BUF,WR,0,0,0,0,0,9,55,6.11,1,65,42,423,10.07,4,0,0,5,,,,54,
155,James Robinson,2TM,RB,0,0,0,0,0,110,425,3.86,3,14,11,51,4.64,2,1,0,5,,,,47,
156,Richie James,NYG,WR,0,0,0,0,0,2,6,3,0,70,57,569,9.98,4,3,3,4,,,,55,
