season,team,player_name,gsis_id,snaps,team_snaps,games_played,targets,receptions,rec_yards,rec_tds,air_yards,rush_att,rush_yards,rush_tds,pass_att,pass_yards,pass_tds,fmb,int,standard_fp,ppr_fp,half_ppr_fp,air_yards_per_game,targets_per_game,snaps_per_game,rush_att_per_game,pass_att_per_game,standard_fp_per_game,half_ppr_fp_per_game,ppr_fp_per_game,lag_games_played_1,lag_air_yards_per_game_1,lag_targets_per_game_1,lag_snaps_1,lag_snaps_per_game_1,lag_rush_att_per_game_1,lag_pass_att_per_game_1
2013,NE,josh boyce,00-0030474,177,599,9.0,19.0,9.0,121.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.100000000000001,21.1,16.6,17.333333333333332,2.111111111111111,19.666666666666668,0.0,0.0,1.3444444444444446,1.8444444444444446,2.3444444444444446,,,,,,,
2013,PIT,markus wheaton,00-0030460,159,784,12.0,13.0,6.0,64.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,12.4,9.4,13.25,1.0833333333333333,13.25,0.0,0.0,0.5333333333333333,0.7833333333333333,1.0333333333333334,,,,,,,
2013,NO,nick toon,00-0029667,196,564,8.0,12.0,4.0,68.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.800000000000001,10.8,8.8,27.25,1.5,24.5,0.0,0.0,0.8500000000000001,1.1,1.35,,,,,,,
2013,DEN,andre caldwell,00-0026237,260,1207,16.0,29.0,16.0,200.0,3.0,449.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7,54.7,46.7,28.0625,1.8125,16.25,0.0625,0.0,2.41875,2.91875,3.41875,,,,,,,
2013,TB,chris owusu,00-0028905,263,565,9.0,20.0,13.0,114.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,24.4,17.9,23.333333333333332,2.2222222222222223,29.22222222222222,0.0,0.0,1.2666666666666666,1.9888888888888887,2.711111111111111,,,,,,,
2013,IND,griff whalen,00-0029033,271,621,9.0,40.0,24.0,259.0,2.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.900000000000006,61.900000000000006,49.900000000000006,47.333333333333336,4.444444444444445,30.11111111111111,0.0,0.0,4.211111111111112,5.544444444444445,6.877777777777778,,,,,,,
2013,NO,robert meachem,00-0025414,389,1058,15.0,30.0,16.0,324.0,2.0,683.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,60.3,52.3,45.53333333333333,2.0,25.933333333333334,0.13333333333333333,0.0,2.953333333333333,3.4866666666666664,4.02,,,,,,,
2013,TB,kevin ogletree,00-0026780,386,1129,16.0,45.0,21.0,269.0,2.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.900000000000006,59.900000000000006,49.400000000000006,36.0,2.8125,24.125,0.0,0.0,2.4312500000000004,3.0875000000000004,3.7437500000000004,,,,,,,
2013,WAS,josh morgan,00-0026314,385,987,14.0,34.0,20.0,214.0,0.0,272.0,2.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,18.700000000000003,38.7,28.700000000000003,19.428571428571427,2.4285714285714284,27.5,0.14285714285714285,0.0,1.3357142857142859,2.0500000000000003,2.7642857142857147,,,,,,,
2013,OAK,andre holmes,00-0028263,380,637,10.0,52.0,25.0,431.0,1.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1,74.1,61.6,75.0,5.2,38.0,0.0,0.0,4.91,6.16,7.409999999999999,,,,,,,
2013,HOU,keshawn martin,00-0029415,373,1121,16.0,40.0,22.0,253.0,2.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.3,55.3,44.3,19.625,2.5,23.3125,0.0,0.0,2.08125,2.76875,3.45625,,,,,,,
2013,TB,mike williams,00-0027702,363,419,6.0,40.0,22.0,216.0,2.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,55.6,44.6,67.33333333333333,6.666666666666667,60.5,0.0,0.0,5.6000000000000005,7.433333333333334,9.266666666666667,,,,,,,
2013,LAR,brian quick,00-0029640,353,1004,16.0,35.0,18.0,302.0,2.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,60.2,51.2,23.1875,2.1875,22.0625,0.0,0.0,2.6375,3.2,3.7625,,,,,,,
2013,ATL,drew davis,00-0028307,341,1077,16.0,19.0,12.0,216.0,2.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,45.6,39.6,10.5625,1.1875,21.3125,0.0,0.0,2.1,2.475,2.85,,,,,,,
2013,TEN,justin hunter,00-0030521,335,922,14.0,42.0,18.0,354.0,4.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.4,77.4,68.4,54.42857142857143,3.0,23.928571428571427,0.0,0.0,4.242857142857143,4.885714285714286,5.528571428571429,,,,,,,
2013,GB,randall cobb,00-0028002,333,428,6.0,47.0,31.0,433.0,4.0,422.0,4.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,75.10000000000001,106.10000000000001,90.60000000000001,70.33333333333333,7.833333333333333,55.5,0.6666666666666666,0.0,12.516666666666667,15.100000000000001,17.683333333333334,,,,,,,
2013,SEA,sidney rice,00-0025431,330,518,8.0,35.0,15.0,231.0,3.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.1,54.1,46.6,63.375,4.375,41.25,0.0,0.0,4.8875,5.825,6.7625,,,,,,,
2013,SF,kyle williams,00-0027608,317,628,10.0,27.0,12.0,113.0,0.0,292.0,2.0,23.0,0.0,0.0,0.0,0.0,2.0,0.0,9.600000000000001,21.6,15.600000000000001,29.2,2.7,31.7,0.2,0.0,0.9600000000000002,1.56,2.16,,,,,,,
