season,team,player_name,gsis_id,snaps,team_snaps,games_played,targets,receptions,rec_yards,rec_tds,air_yards,rush_att,rush_yards,rush_tds,pass_att,pass_yards,pass_tds,fmb,int,standard_fp,ppr_fp,half_ppr_fp
2013,ARI,rashard mendenhall,00-0026163,459,1030,15.0,21.0,18.0,134.0,0.0,-11.0,217.0,687.0,8.0,0.0,0.0,0.0,4.0,0.0,122.10000000000002,140.10000000000002,131.10000000000002
2013,ATL,jacquizz rodgers,00-0028083,435,1006,15.0,63.0,52.0,341.0,2.0,19.0,96.0,332.0,2.0,0.0,0.0,0.0,1.0,0.0,89.30000000000001,141.3,115.30000000000001
2013,ATL,steven jackson,00-0022736,417,808,12.0,49.0,33.0,191.0,1.0,10.0,157.0,543.0,6.0,0.0,0.0,0.0,0.0,0.0,115.4,148.4,131.9
2013,ARI,andre ellington,00-0030287,405,1013,15.0,57.0,39.0,371.0,1.0,248.0,118.0,652.0,3.0,0.0,0.0,0.0,1.0,0.0,124.30000000000001,163.3,143.8
2013,BAL,bernard pierce,00-0029264,398,1136,16.0,25.0,20.0,104.0,0.0,5.0,152.0,436.0,2.0,0.0,0.0,0.0,0.0,0.0,66.0,86.0,76.0
2013,BUF,cj spiller,00-0027861,389,1090,15.0,41.0,33.0,185.0,0.0,-39.0,202.0,933.0,2.0,0.0,0.0,0.0,4.0,0.0,115.80000000000001,148.8,132.3
2013,IND,donald brown,00-0027003,373,1070,16.0,35.0,27.0,214.0,2.0,-38.0,102.0,537.0,6.0,0.0,0.0,0.0,1.0,0.0,121.10000000000001,148.10000000000002,134.60000000000002
2013,NYG,andre brown,00-0027094,360,497,8.0,29.0,20.0,103.0,0.0,12.0,139.0,492.0,3.0,0.0,0.0,0.0,3.0,0.0,71.5,91.5,81.5
2013,NO,darren sproles,00-0023564,357,1067,15.0,89.0,71.0,604.0,2.0,183.0,53.0,220.0,2.0,0.0,0.0,0.0,2.0,0.0,102.4,173.4,137.9
2013,MIA,daniel thomas,00-0028000,348,945,15.0,17.0,15.0,63.0,2.0,-24.0,109.0,406.0,4.0,0.0,0.0,0.0,0.0,0.0,82.9,97.9,90.4
2013,OAK,darren mcfadden,00-0026144,336,649,10.0,25.0,17.0,108.0,0.0,24.0,114.0,379.0,5.0,1.0,16.0,1.0,1.0,0.0,81.34,98.34,89.84
2013,NE,stevan ridley,00-0028011,333,1064,14.0,12.0,10.0,62.0,0.0,6.0,178.0,773.0,7.0,0.0,0.0,0.0,4.0,0.0,117.50000000000001,127.50000000000001,122.50000000000001
2013,NYJ,chris ivory,00-0027531,331,986,15.0,7.0,2.0,10.0,0.0,-7.0,182.0,833.0,3.0,0.0,0.0,0.0,2.0,0.0,98.30000000000001,100.30000000000001,99.30000000000001
2013,CLE,bobby rainey,00-0029384,327,1036,15.0,19.0,15.0,46.0,1.0,-15.0,150.0,566.0,5.0,1.0,0.0,0.0,1.0,0.0,95.2,110.2,102.7
2013,HOU,arian foster,00-0026796,327,589,8.0,35.0,22.0,183.0,1.0,-14.0,121.0,542.0,1.0,0.0,0.0,0.0,0.0,0.0,84.5,106.5,95.5
2013,DEN,montee ball,00-0030522,312,1207,16.0,27.0,20.0,145.0,0.0,61.0,120.0,559.0,4.0,0.0,0.0,0.0,3.0,0.0,88.4,108.4,98.4
2013,TB,doug martin,00-0029613,304,421,6.0,24.0,12.0,66.0,0.0,107.0,127.0,456.0,1.0,0.0,0.0,0.0,2.0,0.0,54.2,66.2,60.2
2013,NE,shane vereen,00-0027994,294,625,8.0,69.0,47.0,427.0,3.0,347.0,44.0,208.0,1.0,0.0,0.0,0.0,1.0,0.0,85.5,132.5,109.0
2013,TB,brian leonard,00-0025439,291,1036,16.0,37.0,29.0,179.0,0.0,77.0,47.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1,65.1,50.6
2013,NE,legarrette blount,00-0027325,286,1197,16.0,5.0,2.0,38.0,0.0,0.0,153.0,772.0,7.0,0.0,0.0,0.0,3.0,0.0,117.0,119.0,118.0
2013,NE,brandon bolden,00-0029239,269,886,12.0,29.0,21.0,152.0,0.0,13.0,55.0,271.0,3.0,0.0,0.0,0.0,0.0,0.0,60.300000000000004,81.30000000000001,70.80000000000001
2013,CLE,willis mcgahee,00-0022178,264,842,12.0,11.0,8.0,20.0,0.0,12.0,138.0,377.0,2.0,0.0,0.0,0.0,1.0,0.0,49.7,57.7,53.7
2013,JAX,jordan todman,00-0028121,264,1057,16.0,26.0,14.0,116.0,1.0,31.0,76.0,256.0,2.0,0.0,0.0,0.0,0.0,0.0,55.2,69.2,62.2
2013,SEA,robert turbin,00-0029273,231,1012,16.0,12.0,8.0,60.0,0.0,-6.0,77.0,264.0,0.0,0.0,0.0,0.0,1.0,0.0,30.400000000000006,38.400000000000006,34.400000000000006
2013,GB,james starks,00-0027791,220,916,13.0,13.0,10.0,89.0,1.0,-15.0,89.0,493.0,3.0,0.0,0.0,0.0,1.0,0.0,80.2,90.2,85.2
2013,TB,peyton hillis,00-0026367,202,446,7.0,21.0,13.0,96.0,0.0,-4.0,73.0,247.0,2.0,0.0,0.0,0.0,2.0,0.0,42.300000000000004,55.300000000000004,48.800000000000004
2013,LAR,daryl richardson,00-0029612,201,463,8.0,18.0,14.0,121.0,0.0,6.0,69.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,47.6,40.6
2013,MIN,toby gerhart,00-0027888,196,908,14.0,19.0,13.0,88.0,0.0,1.0,36.0,283.0,2.0,0.0,0.0,0.0,1.0,0.0,47.1,60.1,53.6
2013,PHI,bryce brown,00-0029429,194,1103,16.0,13.0,8.0,84.0,0.0,26.0,75.0,314.0,2.0,0.0,0.0,0.0,0.0,0.0,51.800000000000004,59.800000000000004,55.800000000000004
