Player,Team,Value,Value Rank,ADP Rank,Diff in ADP and Value,FantasyPoints
Brandon Aiyuk,SF,0.682921943925582,81.0,68.5,-12.5,155.01000000000002
Khalil Herbert,CHI,0.6809888251761933,82.0,95.0,13.0,133.98999999999998
Trevor Lawrence,JAC,0.678259168339707,83.0,54.0,-29.0,288.27
Dak Prescott,DAL,0.6761583573614558,84.0,78.0,-6.0,287.368
Samaje Perine,DEN,0.675585408912842,85.0,104.0,19.0,131.67
Kirk Cousins,MIN,0.6751102809310644,86.0,101.0,15.0,286.918
Daniel Jones,NYG,0.6750636997563803,87.0,103.0,16.0,286.89799999999997
Geno Smith,SEA,0.6709040008570935,88.0,110.0,22.0,285.11199999999997
Michael Pittman Jr.,IND,0.6696928903153081,89.0,76.0,-13.0,149.33
Dalvin Cook,NYJ,0.6683420362494702,90.0,70.5,-19.5,128.56
Jahan Dotson,WAS,0.6672706692317367,91.0,91.0,0.0,148.29
Evan Engram,JAC,0.6638702434798001,92.0,80.0,-12.0,118.42
Pat Freiermuth,PIT,0.6625193894139623,93.0,85.0,-8.0,117.84
George Pickens,PIT,0.6624495176519363,94.0,84.0,-10.0,146.22000000000003
Gabe Davis,BUF,0.6611685353481245,95.0,97.0,2.0,145.67
Jeff Wilson Jr.,MIA,0.6583503742797386,96.0,173.5,77.5,124.27000000000001
Brandin Cooks,DAL,0.6543676838442514,97.0,98.0,1.0,142.75000000000003
Jordan Addison,MIN,0.6535758038746222,98.0,90.0,-8.0,142.41
JuJu Smith-Schuster,NE,0.6463790123859345,99.0,119.0,20.0,139.32
Michael Thomas,NO,0.6455638418289633,100.0,102.0,2.0,138.97
Dalton Schultz,HOU,0.6436074324922326,101.0,123.0,22.0,109.72
David Njoku,CLE,0.6435841419048905,103.5,92.0,-11.5,109.71000000000001
Aaron Rodgers,NYJ,0.6435841419048905,103.5,100.0,-3.5,273.38200000000006
Treylon Burks,TEN,0.6435841419048905,103.5,99.0,-4.5,138.11999999999998
Jamaal Williams,NO,0.6435841419048905,103.5,96.0,-7.5,117.92999999999999
Tyler Higbee,LAR,0.6426525184112094,106.0,156.0,50.0,109.31
Rashaad Penny,PHI,0.6378779480060929,107.0,93.0,-14.0,115.47999999999999
Jaxon Smith-Njigba,SEA,0.636480512765571,108.0,88.0,-20.0,135.07000000000002
Chigoziem Okonkwo,TEN,0.6359448292567041,109.0,127.0,18.0,106.42999999999999
Courtland Sutton,DEN,0.6331033776009765,110.0,113.0,3.0,133.62000000000003
Russell Wilson,DEN,0.6324512411553993,111.0,143.0,32.0,268.602
Raheem Mostert,MIA,0.6317758141224806,112.0,140.0,28.0,112.86
Tua Tagovailoa,MIA,0.6265074832657129,113.0,86.0,-27.0,266.05
Jared Goff,DET,0.6253709026034218,114.0,118.0,4.0,265.562
Greg Dulcich,DEN,0.6246256038084769,115.0,126.0,11.0,101.57
Elijah Mitchell,SF,0.6226924850590884,116.0,115.0,-1.0,108.96000000000001
Zay Flowers,BAL,0.6220636392008534,117.0,116.5,-0.5,128.88
Jakobi Meyers,LV,0.6213183404059084,118.0,158.5,40.5,128.55999999999997
Gerald Everett,LAC,0.6209689815957778,119.0,189.5,70.5,100.0
Zach Charbonnet,SEA,0.6185933416868908,120.0,107.0,-13.0,107.20000000000002
Tyler Allgeier,ATL,0.6169862911602905,121.0,137.0,16.0,106.50999999999999
Kadarius Toney,KC,0.6161944111906614,122.0,106.0,-16.0,126.36
Nico Collins,HOU,0.6127939854387249,123.0,165.0,42.0,124.89999999999999
Tyler Boyd,CIN,0.6115595843095971,124.0,157.0,33.0,124.37
Odell Beckham Jr.,BAL,0.6067850139044808,125.0,108.0,-17.0,122.32000000000001
Dalton Kincaid,BUF,0.6056437751247211,126.0,130.0,4.0,93.42
Rondale Moore,ARI,0.605550612775353,127.0,135.0,8.0,121.79
Jerick McKinnon,KC,0.6053875786639589,128.0,120.0,-8.0,101.53
Devin Singletary,HOU,0.6047820233930661,129.0,133.5,4.5,101.27
Juwan Johnson,NO,0.6043627928209093,130.0,194.0,64.0,92.87
Anthony Richardson,IND,0.6031842891014025,131.0,109.0,-22.0,256.03600000000006
Damien Harris,BUF,0.6029187764057035,132.0,105.0,-27.0,100.47
Zay Jones,JAC,0.6014980505778397,133.0,176.5,43.5,120.05000000000001
Cole Kmet,CHI,0.6003335212107378,134.0,123.0,-11.0,91.13999999999999
DJ Chark Jr.,CAR,0.5996348035904769,135.0,185.0,50.0,119.25
Quentin Johnston,LAC,0.5987497612714798,136.0,123.0,-13.0,118.87
Adam Thielen,CAR,0.5974687789676681,137.0,138.0,1.0,118.32000000000001
Ezekiel Elliott,NE,0.5972125825069058,138.0,132.0,-6.0,98.02000000000001
Michael Gallup,DAL,0.5971892919195637,139.0,182.0,43.0,118.19999999999999
Darnell Mooney,CHI,0.5968865142841173,140.0,168.0,28.0,118.07
Allen Lazard,NYJ,0.5967700613474072,141.0,129.0,-12.0,118.02000000000001
Marquez Valdes-Scantling,KC,0.5958151472663838,142.0,226.0,84.0,117.61
Chuba Hubbard,CAR,0.5946040367245983,143.0,172.0,29.0,96.9
Jaylen Warren,PIT,0.5930202767853401,144.0,154.5,10.5,96.22000000000001
Irv Smith Jr.,CIN,0.591576260370134,145.0,197.0,52.0,87.38
De'Von Achane,MIA,0.5902952780663223,146.0,114.0,-32.0,95.05
Romeo Doubs,GB,0.5901788251296122,147.0,149.0,2.0,115.18999999999998
Kenneth Gainwell,PHI,0.589969209843534,148.0,161.0,13.0,94.91000000000001
D'Onta Foreman,CHI,0.5894335263346672,149.0,142.0,-7.0,94.67999999999999
Hunter Henry,NE,0.5888512616511163,150.0,221.0,71.0,86.21000000000001
